"Table with row headers in column A and column headers in rows 5, 58, 111, 164, 217, 270, 323, 376, 429, 482, 535, 588, 641, 694, 747, 800, 853, 906, 959, 1012, 1065, 1118, 1171, 1224, 1277, 1330, 1383, 1436, 1489, 1542, 1595, 1648, 1701, 1754, 1807, 1860, 1913, 1966, 2019, 2072, 2125, 2178, 2231, 2284, 2337, and 2390",,,,,
Table 19. Number of Poor and Poverty Rate by State: 1980 to 2023,,,,,
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar24.pdf>)",,,,,
2023,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,995",711,114,14.2,2.3
Alaska,717,72,11,10.1,1.5
Arizona,"7,210",861,160,11.9,2.2
Arkansas,"3,011",416,56,13.8,1.9
California,"38,550","4,568",329,11.9,0.8
Colorado,"5,876",498,98,8.5,1.7
Connecticut,"3,620",301,68,8.3,1.9
Delaware,"1,034",81,20,7.8,1.9
District of Columbia,677,86,17,12.7,2.5
Florida,"22,630","2,622",276,11.6,1.2
Georgia,"11,040","1,427",213,12.9,2.0
Hawaii,"1,415",116,28,8.2,2.0
Idaho,"1,957",178,26,9.1,1.4
Illinois,"12,540","1,224",191,9.8,1.5
Indiana,"6,832",566,95,8.3,1.4
Iowa,"3,191",254,70,8.0,2.2
Kansas,"2,889",254,56,8.8,1.9
Kentucky,"4,445",603,118,13.6,2.5
Louisiana,"4,482",964,97,21.5,2.2
Maine,"1,392",103,32,7.4,2.3
Maryland,"6,197",550,133,8.9,2.2
Massachusetts,"6,925",632,102,9.1,1.4
Michigan,"9,936","1,199",162,12.1,1.6
Minnesota,"5,779",417,89,7.2,1.5
Mississippi,"2,896",462,62,16.0,2.0
Missouri,"6,070",590,131,9.7,2.1
Montana,"1,132",92,19,8.1,1.7
Nebraska,"1,966",181,48,9.2,2.4
Nevada,"3,234",449,72,13.9,2.3
New Hampshire,"1,365",83,20,6.1,1.5
New Jersey,"9,240",827,148,9.0,1.6
New Mexico,"2,082",361,77,17.3,3.7
New York,"19,240","2,122",220,11.0,1.1
North Carolina,"10,810","1,470",223,13.6,2.0
North Dakota,782,77,16,9.9,2.0
Ohio,"11,570","1,289",198,11.1,1.7
Oklahoma,"3,942",508,94,12.9,2.4
Oregon,"4,233",435,85,10.3,2.0
Pennsylvania,"12,630","1,301",184,10.3,1.5
Rhode Island,"1,065",95,25,8.9,2.4
South Carolina,"5,361",629,94,11.7,1.8
South Dakota,890,67,14,7.5,1.6
Tennessee,"7,093",757,139,10.7,2.0
Texas,"30,260","3,709",318,12.3,1.1
Utah,"3,404",214,43,6.3,1.2
Vermont,635,43,10,6.7,1.5
Virginia,"8,649",815,163,9.4,1.9
Washington,"7,888",689,128,8.7,1.6
West Virginia,"1,744",232,42,13.3,2.5
Wisconsin,"5,750",535,109,9.3,1.9
Wyoming,571,54,10,9.4,1.8
2022,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,990",681,100,13.6,2.0
Alaska,708,68,12,9.6,1.7
Arizona,"7,239",920,166,12.7,2.3
Arkansas,"2,993",496,68,16.6,2.3
California,"38,690","4,346",346,11.2,0.9
Colorado,"5,732",465,92,8.1,1.6
Connecticut,"3,602",368,93,10.2,2.6
Delaware,"1,035",97,23,9.3,2.2
District of Columbia,654,88,16,13.4,2.4
Florida,"22,190","2,988",302,13.5,1.4
Georgia,"10,920","1,280",195,11.7,1.8
Hawaii,"1,423",126,28,8.8,2.0
Idaho,"1,947",159,27,8.2,1.4
Illinois,"12,350","1,173",170,9.5,1.4
Indiana,"6,792",704,125,10.4,1.9
Iowa,"3,183",299,58,9.4,1.9
Kansas,"2,846",298,68,10.5,2.4
Kentucky,"4,453",763,141,17.1,3.1
