Year,State_Abbreviation,State,Population,Violent_Crime,Homicide,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary
1979,AK,Alaska,406000,1994,54,292,445,1203,23193,5616
1979,AL,Alabama,3769000,15578,496,1037,4127,9918,144372,48517
1979,AR,Arkansas,2180000,7984,198,595,1626,5565,70949,21457
1979,AZ,Arizona,2450000,14528,219,1120,4305,8884,177977,48916
1979,CA,California,22696000,184087,2952,12239,75767,93129,1511021,496310
1979,CO,Colorado,2772000,14472,161,1472,4353,8486,180984,49741
1979,CT,Connecticut,3115000,12902,131,752,6021,5998,167131,48229
1979,DC,District of Columbia,656000,10553,180,489,6920,2964,45877,13452
1979,DE,Delaware,582000,3127,33,162,753,2179,34853,8890
1979,FL,Florida,8860000,73881,1084,4576,22097,46124,607281,190884
1979,GA,Georgia,5118000,28594,877,2216,10939,14562,248641,81579
1979,HI,Hawaii,915000,2651,66,296,1688,601,63664,16538
1979,IA,Iowa,2903000,5259,65,320,1457,3417,119620,26768
1979,ID,Idaho,905000,2613,49,186,392,1986,35766,9729
1979,IL,Illinois,11230000,83540,1203,3702,36056,42579,593750,161776
1979,IN,Indiana,5400000,18254,448,1681,7167,8958,230223,63176
1979,KS,Kansas,2369000,8376,130,626,2423,5197,107605,31504
1979,KY,Kentucky,3527000,8748,335,719,3247,4447,103548,32082
1979,LA,Louisiana,4026000,27229,682,1554,8832,16161,188514,56237
1979,MA,Massachusetts,5769000,30650,212,1428,11724,17286,310756,92570
1979,MD,Maryland,4149000,33007,406,1636,13740,17225,228159,62630
1979,ME,Maine,1097000,2221,31,131,349,1710,45030,12592
1979,MI,Michigan,9208000,56558,834,4100,20218,31406,509457,138806
1979,MN,Minnesota,4060000,8973,93,871,3754,4255,169376,45183
1979,MO,Missouri,4868000,25662,543,1638,10267,13214,214809,70423
1979,MS,Mississippi,2406000,7786,302,523,1702,5259,63447,23428
1979,MT,Montana,786000,1762,33,162,260,1307,33298,6314
1979,NC,North Carolina,5606000,25009,600,1137,4327,18945,220113,72687
1979,ND,North Dakota,657000,403,10,54,65,274,17703,3029
1979,NE,Nebraska,1574000,3556,65,338,1157,1996,59295,12804
1979,NH,New Hampshire,887000,1241,21,152,254,814,39373,10635
1979,NJ,New Jersey,7332000,36747,484,2037,18332,15894,390018,117421
1979,NM,New Mexico,1241000,7272,154,582,1502,5034,64563,18385
1979,NV,Nevada,702000,5866,123,418,2861,2464,56132,19799
1979,NY,New York,17649000,161906,2092,5394,93471,60949,933234,308302
1979,OH,Ohio,10731000,49092,865,3409,20909,23909,501389,138128
1979,OK,Oklahoma,2892000,11719,281,953,2966,7519,124293,42646
1979,OR,Oregon,2527000,13781,107,1121,3299,9254,147264,40682
1979,PA,Pennsylvania,11731000,39133,724,2533,17855,18021,370914,109668
1979,RI,Rhode Island,929000,3485,30,141,1019,2295,50114,14400
1979,SC,South Carolina,2932000,19889,368,1006,3156,15359,128651,44160
1979,SD,South Dakota,689000,1096,14,113,140,829,19297,4316
1979,TN,Tennessee,4380000,18135,430,1511,7277,8917,157651,56710
1979,TX,Texas,13385000,67988,2235,6043,25667,34043,725109,239758
1979,UT,Utah,1367000,4158,66,381,1062,2649,70918,16115
1979,VA,Virginia,5197000,15642,447,1407,5799,7989,211014,56265
1979,VT,Vermont,493000,908,7,113,141,647,25217,7779
1979,WA,Washington,3926000,17064,187,1821,4739,10317,239285,70024
1979,WI,Wisconsin,4720000,7839,160,758,2857,4064,199273,44806
1979,WV,West Virginia,1878000,3156,128,291,825,1912,40513,11959
1979,WY,Wyoming,450000,1579,41,124,190,1224,20129,3887
1980,AK,Alaska,440142,1919,39,250,360,1270,22930,5545
1980,AL,Alabama,3861466,17320,509,1158,5102,10551,173191,58952
1980,AR,Arkansas,2284037,7656,210,609,1848,4989,79390,25559
1980,AZ,Arizona,2715357,17673,279,1227,5258,10909,204193,58527
1980,CA,California,23532680,210290,3411,13693,90420,102766,1633042,545138
1980,CO,Colorado,2878407,15215,198,1510,4608,8899,195872,58455
1980,CT,Connecticut,3095224,12768,146,670,6749,5203,169283,52638
1980,DC,District of Columbia,635233,12772,200,439,8897,3236,50896,16260
1980,DE,Delaware,594779,2824,41,144,815,1824,37482,9698
1980,FL,Florida,9567112,94095,1387,5439,34015,53254,709730,239825
1980,GA,Georgia,5400851,29993,743,2391,10670,16189,272652,91773
1980,HI,Hawaii,964680,2889,84,335,1835,635,69291,17822
1980,IA,Iowa,2907804,5826,63,416,1596,3751,132200,31390
1980,ID,Idaho,943629,2957,29,211,442,2275,42169,11691
1980,IL,Illinois,11355062,91753,1205,3950,41675,44923,620107,177099
1980,IN,Indiana,5461103,20633,485,1808,7720,10620,248619,71720
1980,KS,Kansas,2354783,9168,163,742,2664,5599,117492,35826
1980,KY,Kentucky,3641479,9711,321,698,3468,5224,115328,37901
1980,LA,Louisiana,4199542,27926,661,1867,8271,17127,201106,63997
1980,MA,Massachusetts,5728288,34444,232,1562,13492,19158,313787,99697
1980,MD,Maryland,4192211,35735,399,1681,16461,17194,242214,71183
1980,ME,Maine,1123670,2173,32,145,346,1650,46904,13291
1980,MI,Michigan,9228128,59014,940,4304,22519,31251,557051,160688
1980,MN,Minnesota,4061235,9250,106,942,4025,4177,185668,50602
1980,MO,Missouri,4901288,27177,544,1600,10958,14075,239115,81798
1980,MS,Mississippi,2511491,8588,365,619,2035,5569,77234,29612
1980,MT,Montana,781592,1740,31,164,266,1279,37531,7430
1980,NC,North Carolina,5843665,26589,619,1324,4810,19836,244585,83150
1980,ND,North Dakota,652437,352,8,62,50,232,18984,3186
1980,NE,Nebraska,1563921,3512,69,363,1286,1794,63818,14316
1980,NH,New Hampshire,919114,1653,23,159,386,1085,41358,12067
1980,NJ,New Jersey,7342164,44373,504,2257,22299,19313,425623,137900
1980,NM,New Mexico,1295474,7967,170,561,1657,5579,69490,19335
1980,NV,Nevada,800312,7304,160,538,3686,2920,63556,23263
1980,NY,New York,17506690,180235,2228,5405,112273,60329,1029749,360925
1980,OH,Ohio,10766808,53646,871,3696,24082,24997,531141,157874
1980,OK,Oklahoma,3001252,12589,299,1088,3147,8055,139061,50802
1980,OR,Oregon,2610477,12802,132,1084,3978,7608,161759,45641
1980,PA,Pennsylvania,11824220,43032,809,2722,21039,18462,398761,122800
1980,RI,Rhode Island,945835,3864,42,162,1122,2538,52249,16233
1980,SC,South Carolina,3064557,20225,348,1148,3620,15109,146461,51177
1980,SD,South Dakota,688217,873,5,86,138,644,21447,4766
1980,TN,Tennessee,4545590,20824,489,1700,8208,10427,183632,68251
1980,TX,Texas,14169829,77978,2392,6700,29547,39339,792480,262600
1980,UT,Utah,1458729,4425,55,404,1170,2796,81357,19283
1980,VA,Virginia,5323412,16355,459,1458,6392,8046,229587,64020
1980,VT,Vermont,511299,914,11,149,199,555,24592,7806
1980,WA,Washington,4113331,19098,225,2169,5558,11146,265338,76598
1980,WI,Wisconsin,4680917,8546,136,697,3310,4403,216073,50524
1980,WV,West Virginia,1930787,3547,138,306,936,2167,45719,14258
1980,WY,Wyoming,468954,1841,29,134,208,1470,21543,4238
1981,AK,Alaska,412000,2537,60,421,472,1584,24634,5479
1981,AL,Alabama,3916000,18423,465,1021,4952,11985,173411,56811
1981,AR,Arkansas,2294000,7119,209,577,1776,4557,79972,24732
1981,AZ,Arizona,2793000,16082,227,1064,4961,9830,196575,57655
1981,CA,California,24159000,208485,3143,13566,93781,97995,1625302,540806
1981,CO,Colorado,2963000,15755,239,1352,4726,9438,202119,60197
1981,CT,Connecticut,3132000,14033,168,687,7709,5469,168790,52990
1981,DC,District of Columbia,636000,14468,223,414,10399,3432,53442,16832
1981,DE,Delaware,598000,3044,40,170,844,1990,36958,9627
1981,FL,Florida,10166000,98109,1522,5707,35473,55407,718470,241536
1981,GA,Georgia,5569000,30527,960,2362,10938,16267,282926,93121
1981,HI,Hawaii,979000,2424,47,340,1453,584,61636,16726
1981,IA,Iowa,2897000,5915,76,389,1554,3896,130723,30925
1981,ID,Idaho,959000,2717,43,198,362,2114,40733,11255
1981,IL,Illinois,11455000,90781,1205,3716,42752,43108,609767,173142
1981,IN,Indiana,5466000,18672,388,1616,7050,9618,229472,63887
1981,KS,Kansas,2381000,8796,151,733,2611,5301,119880,36768
1981,KY,Kentucky,3661000,10599,308,766,3687,5838,118690,38893
1981,LA,Louisiana,4305000,27478,673,1782,8698,16325,199295,61756
1981,MA,Massachusetts,5770000,36273,210,1580,15633,18850,300428,95080
1981,MD,Maryland,4261000,37800,421,1654,18085,17640,241625,70740
1981,ME,Maine,1132000,2214,36,145,368,1665,45820,14081
1981,MI,Michigan,9201000,59058,861,4366,23688,30143,571582,171331
1981,MN,Minnesota,4090000,9344,85,1056,4266,3937,184387,52253
1981,MO,Missouri,4938000,26675,516,1465,10629,14065,237575,78173
1981,MS,Mississippi,2530000,7706,319,658,2059,4670,81789,29614
1981,MT,Montana,792000,2004,27,175,302,1500,37746,7651
1981,NC,North Carolina,5951000,25986,541,1351,4809,19285,243012,79545
1981,ND,North Dakota,658000,444,15,57,85,287,19237,3294
1981,NE,Nebraska,1576000,2861,49,323,1115,1374,62977,14383
1981,NH,New Hampshire,935000,1375,27,154,335,859,39034,11090
1981,NJ,New Jersey,7401000,46674,542,2374,24761,18997,410693,128274
1981,NM,New Mexico,1327000,8913,151,628,1868,6266,73369,21405
1981,NV,Nevada,845000,7575,148,548,3870,3009,65027,23046
1981,NY,New York,17594000,188178,2166,5479,120344,60189,1026757,350422
1981,OH,Ohio,10776000,53509,799,3339,25529,23842,533498,160951
1981,OK,Oklahoma,3098000,13223,279,1091,3574,8279,136637,49220
1981,OR,Oregon,2647000,12671,117,1105,4780,6669,173596,52067
1981,PA,Pennsylvania,11864000,44104,729,2662,22137,18576,392872,122372
1981,RI,Rhode Island,952000,4205,40,170,1257,2738,51504,15755
1981,SC,South Carolina,3166000,20275,330,1148,3805,14992,148127,50520
1981,SD,South Dakota,685000,718,12,79,122,505,19922,4348
1981,TN,Tennessee,4610000,19019,448,1735,7916,8920,179737,63811
1981,TX,Texas,14755000,78560,2446,6821,28528,40765,814163,275978
1981,UT,Utah,1516000,4527,50,431,1286,2760,82643,19326
1981,VA,Virginia,5426000,17456,464,1478,7229,8285,235984,63350
1981,VT,Vermont,515000,659,22,170,142,325,25404,8033
1981,WA,Washington,4212000,18839,213,2115,5475,11036,265135,79696
1981,WI,Wisconsin,4739000,8904,161,745,3249,4749,216997,50813
1981,WV,West Virginia,1951000,3410,118,289,979,2024,47681,15122
1981,WY,Wyoming,492000,2116,27,174,206,1709,23133,4728
1982,AK,Alaska,438000,2732,81,374,586,1691,24479,5204
1982,AL,Alabama,3943000,17653,417,1026,4417,11793,165048,49531
1982,AR,Arkansas,2291000,7438,187,622,1805,4824,81259,24547
1982,AZ,Arizona,2860000,14785,236,1100,4537,8912,189161,53861
1982,CA,California,24724000,201429,2779,12529,91988,94133,1599827,499466
1982,CO,Colorado,3045000,15354,182,1356,4587,9229,200230,53260
1982,CT,Connecticut,3153000,12597,164,692,6574,5167,158532,44481
1982,DC,District of Columbia,631000,13397,194,421,9137,3645,52295,14774
1982,DE,Delaware,602000,3370,32,186,737,2415,35067,8698
1982,FL,Florida,10416000,93411,1409,5587,31002,55413,684166,211932
1982,GA,Georgia,5639000,26963,713,2242,8716,15292,267097,84469
1982,HI,Hawaii,994000,2542,31,342,1560,609,62906,16477
1982,IA,Iowa,2905000,5018,67,362,1051,3538,115148,27535
1982,ID,Idaho,965000,2501,24,160,292,2025,36902,9958
1982,IL,Illinois,11448000,88644,1005,3424,39700,44515,579954,157273
1982,IN,Indiana,5471000,16444,355,1521,5966,8602,225894,59569
1982,KS,Kansas,2408000,8088,138,596,2095,5259,111156,32382
1982,KY,Kentucky,3667000,11550,355,734,3568,6893,119304,37736
1982,LA,Louisiana,4362000,29185,698,1740,9275,17472,202489,62151
1982,MA,Massachusetts,5781000,33031,219,1464,12359,18989,285140,82212
1982,MD,Maryland,4265000,36254,432,1596,15377,18849,220174,60547
1982,ME,Maine,1133000,1847,24,152,345,1326,41884,11862
1982,MI,Michigan,9109000,59806,827,4246,24699,30034,558195,165155
1982,MN,Minnesota,4133000,9062,95,938,4188,3841,175048,48855
1982,MO,Missouri,4951000,25078,479,1283,9554,13762,219888,68881
1982,MS,Mississippi,2551000,7515,358,675,1863,4619,83622,30200
1982,MT,Montana,801000,1801,31,119,265,1386,32908,6759
1982,NC,North Carolina,6019000,26865,545,1322,5168,19830,246593,78787
1982,ND,North Dakota,670000,414,5,66,85,258,17328,3074
1982,NE,Nebraska,1586000,3641,31,329,982,2299,59019,12867
1982,NH,New Hampshire,951000,1187,21,154,322,690,35229,8987
1982,NJ,New Jersey,7438000,45175,482,2149,22880,19664,377016,106418
1982,NM,New Mexico,1359000,9982,158,656,1715,7453,79816,22135
1982,NV,Nevada,881000,7096,120,542,3697,2737,62512,21256
1982,NY,New York,17659000,174833,2013,5159,107843,59818,967369,295245
1982,OH,Ohio,10791000,47126,676,3223,19809,23418,485468,141316
1982,OK,Oklahoma,3177000,14103,344,1180,4218,8361,151814,50956
1982,OR,Oregon,2649000,12529,136,1057,4433,6903,161444,47410
1982,PA,Pennsylvania,11865000,42767,678,2448,20806,18835,366903,106867
1982,RI,Rhode Island,958000,3849,35,186,1099,2529,47539,13414
1982,SC,South Carolina,3203000,23061,348,1242,3921,17550,148657,47752
1982,SD,South Dakota,691000,684,19,79,118,468,17592,3885
1982,TN,Tennessee,4651000,19586,452,1651,8173,9310,185692,59934
1982,TX,Texas,15280000,88178,2466,6816,33618,45278,874799,285967
1982,UT,Utah,1554000,4440,53,369,1344,2674,78451,17202
1982,VA,Virginia,5491000,16970,405,1366,6708,8491,216713,53457
1982,VT,Vermont,516000,655,12,180,119,344,23555,6080
1982,WA,Washington,4245000,17251,185,1947,5003,10116,249429,71322
1982,WI,Wisconsin,4765000,9077,148,680,3393,4856,202447,46564
1982,WV,West Virginia,1948000,3405,102,302,970,2031,45514,13985
1982,WY,Wyoming,502000,1527,46,136,172,1173,22589,4432
1983,AK,Alaska,479000,2940,66,486,465,1923,25889,5720
1983,AL,Alabama,3959000,16471,364,931,3895,11281,145890,42485
1983,AR,Arkansas,2328000,6930,178,586,1614,4552,74563,22380
1983,AZ,Arizona,2963000,14642,213,1241,3923,9265,174740,49440
1983,CA,California,25174000,194491,2639,12093,85826,93933,1486487,460460
1983,CO,Colorado,3139000,14955,202,1316,3968,9469,193070,48101
1983,CT,Connecticut,3138000,11767,129,627,6296,4715,144437,39988
1983,DC,District of Columbia,623000,11933,183,406,7698,3646,45843,12483
1983,DE,Delaware,606000,2746,25,229,699,1793,30378,7414
1983,FL,Florida,10680000,88292,1199,5170,28126,53797,635934,191902
1983,GA,Georgia,5732000,26179,483,2021,8267,15408,232062,72614
1983,HI,Hawaii,1023000,2579,57,301,1330,891,56853,13636
1983,IA,Iowa,2905000,5262,68,365,1192,3637,108587,26599
1983,ID,Idaho,989000,2361,35,181,270,1875,35872,9206
1983,IL,Illinois,11486000,83629,1112,3619,36625,42273,552857,148445
1983,IN,Indiana,5479000,15547,286,1509,5474,8278,210725,54147
1983,KS,Kansas,2425000,7919,137,627,2038,5117,101928,28318
1983,KY,Kentucky,3714000,11967,364,817,3236,7550,115602,36286
1983,LA,Louisiana,4438000,28444,629,1770,8433,17612,194636,57359
1983,MA,Massachusetts,5767000,33264,203,1495,12023,19543,255707,72291
1983,MD,Maryland,4304000,34736,367,1412,14950,18007,195828,52697
1983,ME,Maine,1146000,1829,24,193,311,1301,40357,11415
1983,MI,Michigan,9069000,64993,910,5085,25873,33125,522450,153438
1983,MN,Minnesota,4144000,7909,69,927,3298,3615,159268,44571
1983,MO,Missouri,4970000,23718,403,1330,8346,13639,201418,60496
1983,MS,Mississippi,2587000,7255,290,616,1650,4699,75740,26479
1983,MT,Montana,817000,1737,30,162,192,1353,36208,7420
1983,NC,North Carolina,6082000,24911,490,1332,4840,18249,229540,72348
1983,ND,North Dakota,680000,365,14,85,53,213,17828,2967
1983,NE,Nebraska,1597000,3477,42,339,796,2300,57012,12408
1983,NH,New Hampshire,959000,1200,19,187,231,763,30987,7882
1983,NJ,New Jersey,7468000,41304,399,2266,20086,18553,344296,92391
1983,NM,New Mexico,1399000,9608,124,671,1595,7218,79175,21813
1983,NV,Nevada,891000,5838,114,457,2737,2530,53871,17922
1983,NY,New York,17667000,161489,1958,5296,94783,59452,881322,249115
1983,OH,Ohio,10746000,42759,600,3387,17132,21640,441362,124179
1983,OK,Oklahoma,3298000,13964,249,1247,4245,8223,148599,49782
1983,OR,Oregon,2662000,12986,109,1078,4533,7266,153412,46472
1983,PA,Pennsylvania,11895000,40782,583,2449,20501,17249,339321,96425
1983,RI,Rhode Island,955000,3392,26,160,1078,2128,44410,12722
1983,SC,South Carolina,3264000,20133,321,1144,3425,15243,135590,42263
1983,SD,South Dakota,700000,840,15,119,111,595,16993,3820
